(1, 0, 1, 0, 2)	123.6
(1, 0, 1, 1, 0)	190.3
(1, 0, 1, 1, 1)	183.3
(1, 0, 1, 1, 2)	74.2
(1, 0, 1, 2, 0)	136.3
(1, 0, 1, 2, 1)	156.0
(1, 0, 1, 2, 2)	72.9
(1, 0, 2, 0, 0)	118.6
(1, 0, 2, 0, 1)	142.9
(1, 0, 2, 0, 2)	62.1
(1, 0, 2, 1, 0)	155.4
(1, 0, 2, 1, 1)	157.4
(1, 0, 2, 1, 2)	49.4
(1, 0, 2, 2, 0)	74.7
(1, 0, 2, 2, 1)	129.8
(1, 0, 2, 2, 2)	88.2
(1, 1, 0, 0, 0)	190.7
(1, 1, 0, 0, 1)	194.3
(1, 1, 0, 0, 2)	126.4
(1, 1, 0, 1, 0)	202.9
(1, 1, 0, 1, 1)	197.3
(1, 1, 0, 1, 2)	100.8
(1, 1, 0, 2, 0)	157.7
(1, 1, 0, 2, 1)	161.3
(1, 1, 0, 2, 2)	66.4
(1, 1, 1, 0, 0)	200.3
(1, 1, 1, 0, 1)	206.7
(1, 1, 1, 0, 2)	126.0
(1, 1, 1, 1, 0)	197.2
(1, 1, 1, 1, 1)	199.5
(1, 1, 1, 1, 2)	113.8
(1, 1, 1, 2, 0)	156.1
(1, 1, 1, 2, 1)	167.3
(1, 1, 1, 2, 2)	106.8
(1, 1, 2, 0, 0)	162.0
(1, 1, 2, 0, 1)	169.4
(1, 1, 2, 0, 2)	115.6
(1, 1, 2, 1, 0)	164.8
(1, 1, 2, 1, 1)	163.6
(1, 1, 2, 1, 2)	102.6
(1, 1, 2, 2, 0)	164.4
(1, 1, 2, 2, 1)	156.9
(1, 1, 2, 2, 2)	94.1
(1, 2, 0, 0, 0)	91.8
(1, 2, 0, 0, 1)	101.1
(1, 2, 0, 0, 2)	33.7
(1, 2, 0, 1, 0)	97.8
(1, 2, 0, 1, 1)	130.3
(1, 2, 0, 1, 2)	30.6
(1, 2, 0, 2, 0)	49.7
(1, 2, 0, 2, 1)	95.3
(1, 2, 0, 2, 2)	38.7
(1, 2, 1, 0, 0)	66.9
(1, 2, 1, 0, 1)	107.7
(1, 2, 1, 0, 2)	43.3
(1, 2, 1, 1, 0)	92.4
(1, 2, 1, 1, 1)	155.4
(1, 2, 1, 1, 2)	74.7
(1, 2, 1, 2, 0)	57.1
(1, 2, 1, 2, 1)	89.0
